id,name,city,latitude,longitude,dpcapacity,online_date
456,2112 W Peterson Ave,Chicago,41.991178,-87.683593,15,02-10-2015 14:04
101,63rd St Beach,Chicago,41.78101637,-87.57611976,23,7/16/2013 01:27:50
109,900 W Harrison St,Chicago,41.874675,-87.650019,19,7/18/2013 16:45:02
21,Aberdeen St & Jackson Blvd,Chicago,41.87772613,-87.65478743,15,6/22/2013 19:07:12
80,Aberdeen St & Madison (Monroe) St,Chicago,41.881567,-87.655056,19,6/26/2013 19:00:18
346,Ada St & Washington Blvd,Chicago,41.88283,-87.661206,15,10-04-2013 14:37
341,Adler Planetarium,Chicago,41.866095,-87.607267,35,10-03-2013 12:01
480,Albany (Kedzie) Ave & Montrose Ave,Chicago,41.961041,-87.705866,15,02-10-2015 14:39
444,Albany Ave & 26th St,Chicago,41.84447501,-87.70201301,11,02-10-2015 11:50
511,Albany Ave & Bloomingdale Ave,Chicago,41.91402671,-87.70512646,15,02-10-2015 14:51
376,Artesian Ave & Hubbard St,Chicago,41.88949182,-87.68821936,35,1/30/2015 13:59:17
275,Ashland Ave & 13th St,Chicago,41.865234,-87.666507,15,09-10-2013 12:20
208,Ashland Ave & 21st St,Chicago,41.85381,-87.665897,15,8/14/2013 13:01:52
555,Ashland Ave & 50th St,Chicago,41.803023,-87.664699,11,5/27/2016 10:16:03
563,Ashland Ave & 63rd St,Chicago,41.779374,-87.664843,15,5/27/2016 10:51:39
565,Ashland Ave & 66th St,Chicago,41.774074,-87.663815,11,5/27/2016 10:52:35
566,Ashland Ave & 69th St,Chicago,41.768726,-87.664069,11,5/27/2016 10:53:08
368,Ashland Ave & Archer Ave,Chicago,41.83920868,-87.66560986,15,1/30/2015 12:51:19
30,Ashland Ave & Augusta Blvd,Chicago,41.899643,-87.6677,15,6/22/2013 20:54:40
246,Ashland Ave & Belle Plaine Ave,Chicago,41.956061,-87.668869,11,8/22/2013 12:47:32
333,Ashland Ave & Blackhawk St,Chicago,41.907066,-87.667252,15,9/25/2013 16:37:22
350,Ashland Ave & Chicago Ave,Chicago,41.895966,-87.667747,15,10-10-2013 14:22
210,Ashland Ave & Division St,Chicago,41.90345,-87.667747,19,8/14/2013 16:30:43
558,Ashland Ave & Garfield Blvd,Chicago,41.792822,-87.664429,11,5/27/2016 10:49:17
347,Ashland Ave & Grace St,Chicago,41.950687,-87.6687,15,10-04-2013 16:06
277,Ashland Ave & Grand Ave,Chicago,41.891072,-87.666611,15,09-10-2013 14:57
383,Ashland Ave & Harrison St,Chicago,41.87429061,-87.66724564,23,1/30/2015 14:28:10
119,Ashland Ave & Lake St,Chicago,41.88541,-87.66732,19,7/18/2013 17:21:18
552,Ashland Ave & McDowell Ave,Chicago,41.80887,-87.66454,11,5/27/2016 09:30:22
547,Ashland Ave & Pershing Rd,Chicago,41.823465,-87.665577,11,5/27/2016 09:24:35
250,Ashland Ave & Wellington Ave,Chicago,41.936083,-87.669807,19,8/23/2013 09:09:59
166,Ashland Ave & Wrightwood Ave,Chicago ,41.92883,-87.668507,15,7/19/2013 10:07:29
524,Austin Blvd & Chicago Ave,Chicago,41.894887,-87.774704,11,5/24/2016 15:45:52
532,Austin Blvd & Lake St,Chicago,41.887919,-87.774446,15,5/27/2016 08:38:49
496,Avers Ave & Belmont Ave,Chicago,41.939364,-87.722247,11,02-10-2015 14:47
483,Avondale Ave & Irving Park Rd,Chicago,41.953393,-87.732002,19,02-10-2015 14:39
578,Bennett Ave & 79th St,Chicago,41.751785,-87.578496,11,5/27/2016 11:31:44
113,Bissell St & Armitage Ave,Chicago ,41.91844,-87.65222,15,7/18/2013 17:09:35
121,Blackstone Ave & Hyde Park Blvd,Chicago,41.802562,-87.590368,19,7/18/2013 17:22:27
129,Blue Island Ave & 18th St,Chicago ,41.857556,-87.661535,15,7/18/2013 17:56:35
522,Bosworth Ave & Howard St,Chicago,42.019537,-87.669563,15,5/24/2016 15:43:13
295,Broadway & Argyle St,Chicago,41.973815,-87.65966,15,9/17/2013 17:38:47
300,Broadway & Barry Ave,Chicago,41.937725,-87.644095,19,9/18/2013 15:13:12
296,Broadway & Belmont Ave,Chicago,41.940106,-87.645451,15,9/17/2013 17:48:58
294,Broadway & Berwyn Ave,Chicago,41.978353,-87.659753,15,9/17/2013 15:42:58
303,Broadway & Cornelia Ave,Chicago,41.945529,-87.646439,23,9/19/2013 09:39:45
454,Broadway & Granville Ave,Chicago,41.99477969,-87.66028453,15,02-10-2015 14:04
461,Broadway & Ridge Ave,Chicago,41.98404461,-87.66027383,15,02-10-2015 14:05
256,Broadway & Sheridan Rd,Chicago,41.952833,-87.649993,15,8/31/2013 11:54:12
458,Broadway & Thorndale Ave,Chicago,41.98974251,-87.66014062,19,02-10-2015 14:05
304,Broadway & Waveland Ave,Chicago,41.949065,-87.648601,15,9/19/2013 12:10:46
293,Broadway & Wilson Ave,Chicago,41.965485,-87.657238,19,9/17/2013 14:59:37
2,Buckingham Fountain,Chicago,41.88106,-87.619486,27,06-10-2013 10:43
468,Budlong Woods Library,Chicago,41.98366471,-87.69642256,15,02-10-2015 14:12
4,Burnham Harbor,Chicago,41.856268,-87.613348,23,06-10-2013 10:46
348,California Ave & 21st St,Chicago,41.854016,-87.695445,15,10-09-2013 16:13
442,California Ave & 23rd Pl,Chicago,41.84910969,-87.69513981,15,02-10-2015 11:50
445,California Ave & 26th St,Chicago,41.84404003,-87.69529592,11,02-10-2015 11:51
502,California Ave & Altgeld St,Chicago,41.92669,-87.697668,15,02-10-2015 14:48
487,California Ave & Byron St,Chicago,41.95216219,-87.69805111,19,02-10-2015 14:40
622,California Ave & Cortez St,Chicago,41.900363,-87.696704,0,4/27/2017 09:17:08
